,family,t_acept
0,cardigan,46.32140558289913
1,sweater,45.165586957119785
2,top,44.244973465795724
3,jeans,43.768745236386216
4,short,43.43874737946462
5,tshirt,43.23225346095121
6,scarf,42.32609117350148
7,shirt,42.13035924837559
8,pant,40.19434732962329
9,jacket,40.19062414813465
10,jumpsuit,39.2668884656046
11,skirt,39.20031559427133
12,sweatshirt,38.43468730695396
13,parka,37.82343666594655
14,coat,35.94543460892896
15,dress,35.85753016934075
16,trench,34.599306751257295
17,bag,34.1546924784941
