,envios,ventas,nivel
0,0,0,2
1,814,330,1
2,374,132,1
3,1429,704,3
4,506,308,2
5,902,462,1
6,616,198,1
7,6905,2661,2
8,1935,484,2
9,704,286,2
10,946,330,2
11,1649,946,2
12,352,66,3
13,572,176,2
14,396,176,2
15,286,66,2
16,374,220,2
17,1166,418,1
18,330,176,2
19,506,176,1
20,242,66,1
21,880,396,2
22,1957,968,2
23,902,264,3
24,220,66,2
25,1297,308,2
26,616,220,1
27,462,154,1
28,1891,616,2
29,638,242,2
30,3321,1693,2
31,308,132,1
32,396,198,2
33,264,132,1
34,330,110,1
35,748,220,1
36,1473,858,2
37,3013,1122,1
38,1517,880,1
39,0,0,1
40,2991,1056,1
41,330,264,2
42,572,440,2
43,198,44,3
44,638,198,3
45,3299,1166,1
46,1561,616,1
47,704,308,2
48,242,110,3
49,484,132,1
50,286,110,2
51,220,110,1
52,3892,1869,2
53,3079,1078,3
54,3079,1275,3
55,858,374,1
56,660,330,2
57,286,88,1
58,330,220,1
59,682,374,2
60,110,110,2
61,440,110,1
62,616,308,2
63,506,286,2
64,396,154,2
65,726,418,2
66,0,0,3
67,0,0,2
68,2375,1166,2
69,1078,242,3
70,418,132,1
71,13635,6092,1
72,1210,308,2
73,1715,506,1
74,1891,770,3
75,6377,2353,2
76,176,110,2
77,990,462,3
78,242,88,3
79,352,132,2
80,176,88,1
81,2155,968,2
82,484,176,1
83,726,330,2
84,814,242,1
85,0,0,1
86,330,154,2
87,6465,2661,2
88,176,110,1
89,1627,396,3
90,418,308,2
91,858,264,1
92,6663,2617,1
93,3453,1385,3
94,1034,418,2
95,88,66,1
96,2089,946,3
97,550,220,1
98,132,22,2
99,440,176,1
100,1078,286,2
101,66,44,2
102,0,0,1
103,638,330,2
104,308,154,2
105,836,308,2
106,770,374,1
107,374,176,1
108,37165,20056,1
109,110,88,2
110,220,66,2
111,638,440,1
112,462,176,1
113,638,286,1
114,0,0,2
115,1451,418,1
116,924,198,2
117,88,66,1
118,1012,374,1
119,132,88,2
120,968,308,1
121,4002,1539,1
122,572,352,3
123,242,154,2
124,1188,418,2
125,462,176,1
126,682,220,1
127,462,242,1
128,506,132,1
129,528,220,1
130,1341,770,2
131,814,110,1
132,198,88,2
133,1715,506,2
134,616,154,1
135,0,0,1
136,506,198,2
137,1429,594,2
138,176,110,3
139,792,440,2
140,1781,902,2
141,2067,770,2
142,836,374,1
143,176,66,3
144,990,330,1
145,440,88,2
146,1847,748,3
147,396,66,3
148,418,132,1
149,990,396,2
150,110,88,3
151,242,44,1
152,1144,550,2
153,748,198,2
154,242,198,2
155,990,418,1
156,2639,1078,2
157,1847,616,1
158,770,352,2
159,946,352,1
160,66,66,2
161,1232,242,3
162,572,330,3
163,0,0,3
164,660,264,1
165,572,242,1
166,2375,858,2
167,110,44,1
168,880,440,2
169,110,66,1
170,2661,1078,2
171,836,352,1
172,528,88,1
173,1715,1034,1
174,440,198,2
175,1297,770,2
176,814,132,2
177,506,264,1
178,242,154,2
179,242,176,2
180,1781,836,1
181,638,418,2
182,748,286,3
183,22,22,2
184,418,176,3
185,440,132,1
186,1363,440,3
187,946,396,2
188,1275,528,2
189,154,88,2
190,946,330,1
191,3189,1232,2
192,1583,924,2
193,440,220,1
194,88,44,2
