family,envios,ventas,venta_envio
trench,109880,34714,0.3159264652348016
bag,689250,225585,0.3272905331882481
dress,1548203,543687,0.3511729404994048
coat,197338,69778,0.35359636765346764
sweatshirt,212624,77022,0.3622450899239973
skirt,1961662,738923,0.3766821195496472
parka,553956,208795,0.376916217172483
jacket,2020193,780093,0.3861477591497446
jumpsuit,487502,190260,0.3902753219473971
pant,2937356,1176652,0.4005820200207261
scarf,1032397,422815,0.4095469087957443
tshirt,1933330,797982,0.41275002198279653
shirt,2191488,913182,0.4166949579463816
sweater,2324254,997807,0.42930204702239944
cardigan,1547325,667366,0.43130305527280954
short,631895,273393,0.4326557418558463
top,2515946,1103393,0.4385598896001742
jeans,3399027,1510481,0.4443862905472654
