0,g,0
sweater,freetime,2679
tshirt,freetime,2508
top,freetime,2128
jeans,freetime,1948
pant,work,1780
pant,freetime,1680
shirt,work,1606
shirt,freetime,1543
skirt,freetime,1541
jacket,freetime,1532
cardigan,freetime,1406
dress,freetime,1401
sweater,work,1175
parka,freetime,1012
cardigan,work,964
top,work,955
jacket,work,784
top,night,767
short,freetime,723
jeans,work,617
dress,work,616
pant,working_girl,574
tshirt,work,530
skirt,work,503
jumpsuit,freetime,444
shirt,working_girl,360
sweatshirt,freetime,303
coat,freetime,297
jacket,working_girl,269
scarf,freetime,248
coat,work,234
skirt,night,204
jacket,night,194
dress,night,181
parka,work,168
bag,freetime,168
jeans,night,154
scarf,work,149
pant,night,149
jumpsuit,work,135
trench,work,104
tshirt,night,96
trench,freetime,95
sweater,night,74
dress,working_girl,72
bag,work,58
skirt,working_girl,53
jumpsuit,night,51
short,work,51
top,special_occasion,41
skirt,special_occasion,31
bag,night,31
short,night,29
trench,working_girl,29
dress,special_occasion,28
cardigan,working_girl,25
jumpsuit,special_occasion,24
shirt,night,23
tshirt,working_girl,18
pant,special_occasion,14
sweatshirt,work,13
cardigan,night,11
sweater,working_girl,9
top,working_girl,8
jacket,special_occasion,5
jumpsuit,working_girl,5
shirt,special_occasion,5
jeans,working_girl,3
coat,working_girl,3
bag,working_girl,3
scarf,working_girl,2
parka,night,2
scarf,night,1
